,id,suffix,tld,punycode,origin,type,tld type,suffix type,tld manager,psl comment,code
93,93,safety.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00093sp1
94,94,scientist.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00094sp1
95,95,services.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00095sp1
96,96,show.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00096sp1
97,97,skydiving.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00097sp1
98,98,software.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00098sp1
99,99,student.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00099sp1
100,100,trader.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00100sp1
101,101,trading.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00101sp1
102,102,trainer.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00102sp1
103,103,union.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00103sp1
104,104,workinggroup.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00104sp1
105,105,works.aero,aero,,merged,sponsored,sponsored,icann,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),aero,m00105sp1
106,106,af,af,,both,country-code,country-code,icann,Ministry of Communications and IT,af,b00106cc0
107,107,gov.af,af,,merged,country-code,country-code,icann,Ministry of Communications and IT,af,m00107cc1
108,108,com.af,af,,merged,country-code,country-code,icann,Ministry of Communications and IT,af,m00108cc1
109,109,org.af,af,,merged,country-code,country-code,icann,Ministry of Communications and IT,af,m00109cc1
110,110,net.af,af,,merged,country-code,country-code,icann,Ministry of Communications and IT,af,m00110cc1
