,Domain,Type,TLD Manager
1111,.schmidt,generic,SCHMIDT GROUPE S.A.S.
1112,.scholarships,generic,"Scholarships.com, LLC"
1113,.school,generic,"Binky Moon, LLC"
1114,.schule,generic,"Binky Moon, LLC"
1115,.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG
1116,.science,generic,dot Science Limited
1117,.scjohnson,generic,Not assigned
1118,.scor,generic,Not assigned
1119,.scot,generic,Dot Scot Registry Limited
1120,.sd,country-code,Sudan Internet Society
1121,.se,country-code,The Internet Infrastructure Foundation
1122,.search,generic,Charleston Road Registry Inc.
1123,.seat,generic,"SEAT, S.A. (Sociedad Unipersonal)"
1124,.secure,generic,"Amazon Registry Services, Inc."
1125,.security,generic,XYZ.COM LLC
1126,.seek,generic,Seek Limited
1127,.select,generic,"Registry Services, LLC"
1128,.sener,generic,"Sener Ingeniería y Sistemas, S.A."
1129,.services,generic,"Binky Moon, LLC"
1130,.ses,generic,SES
1131,.seven,generic,Seven West Media Ltd
1132,.sew,generic,SEW-EURODRIVE GmbH & Co KG
1133,.sex,generic,ICM Registry SX LLC
1134,.sexy,generic,UNR Corp.
1135,.sfr,generic,Societe Francaise du Radiotelephone - SFR
1136,.sg,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
1137,.sh,country-code,Government of St. Helena
1138,.shangrila,generic,Shangri‐La International Hotel Management Limited
1139,.sharp,generic,Sharp Corporation
1140,.shaw,generic,Shaw Cablesystems G.P.
1141,.shell,generic,Shell Information Technology International Inc
1142,.shia,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
1143,.shiksha,generic,Afilias Limited
1144,.shoes,generic,"Binky Moon, LLC"
1145,.shop,generic,"GMO Registry, Inc."
1146,.shopping,generic,"Binky Moon, LLC"
1147,.shouji,generic,QIHOO 360 TECHNOLOGY CO. LTD.
1148,.show,generic,"Binky Moon, LLC"
1149,.showtime,generic,CBS Domains Inc.
1150,.shriram,generic,Not assigned
1151,.si,country-code,Academic and Research Network of Slovenia (ARNES)
1152,.silk,generic,"Amazon Registry Services, Inc."
1153,.sina,generic,Sina Corporation
1154,.singles,generic,"Binky Moon, LLC"
1155,.site,generic,Radix FZC
1156,.sj,country-code,Norid A/S
1157,.sk,country-code,"SK-NIC, a.s."
1158,.ski,generic,Afilias Limited
1159,.skin,generic,XYZ.COM LLC
1160,.sky,generic,Sky International AG
1161,.skype,generic,Microsoft Corporation
1162,.sl,country-code,Sierratel
1163,.sling,generic,Hughes Satellite Systems Corporation
1164,.sm,country-code,Telecom Italia San Marino S.p.A.
1165,.smart,generic,"Smart Communications, Inc. (SMART)"
1166,.smile,generic,"Amazon Registry Services, Inc."
1167,.sn,country-code,Universite Cheikh Anta Diop NIC Senegal
1168,.sncf,generic,SNCF (Société Nationale des Chemins de fer Francais)
1169,.so,country-code,Ministry of Post and Telecommunications
1170,.soccer,generic,"Binky Moon, LLC"
1171,.social,generic,"Dog Beach, LLC"
1172,.softbank,generic,SoftBank Group Corp.
1173,.software,generic,"Dog Beach, LLC"
1174,.sohu,generic,Sohu.com Limited
