,TLD,Type,Punycode,Language Code,Translation,Romanized,RTL,Sponsor
289,computer,gTLD,,,,,no,"Binky Moon, LLC"
290,comsec,gTLD,,,,,no,"VeriSign, Inc."
291,condos,gTLD,,,,,no,"Binky Moon, LLC"
292,construction,gTLD,,,,,no,"Binky Moon, LLC"
293,consulting,gTLD,,,,,no,"United TLD Holdco, LTD."
294,contact,gTLD,,,,,no,"Dog Beach, LLC"
295,contractors,gTLD,,,,,no,"Binky Moon, LLC"
296,cooking,gTLD,,,,,no,Minds + Machines Group Limited
297,cookingchannel,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
298,cool,gTLD,,,,,no,"Binky Moon, LLC"
299,coop,sTLD,,,,,no,DotCooperation LLC
300,corsica,gTLD,,,,,no,Collectivité de Corse
301,country,gTLD,,,,,no,Top Level Domain Holdings Limited
302,coupon,gTLD,,,,,no,"Amazon Registry Services, Inc."
303,coupons,gTLD,,,,,no,"Binky Moon, LLC"
304,courses,gTLD,,,,,no,OPEN UNIVERSITIES AUSTRALIA PTY LTD
305,cpa,gTLD,,,,,no,American Institute of Certified Public Accountants
306,cr,ccTLD,,,,,no,National Academy of Sciences Academia Nacional de Ciencias
307,credit,gTLD,,,,,no,"Binky Moon, LLC"
308,creditcard,gTLD,,,,,no,"Binky Moon, LLC"
309,creditunion,gTLD,,,,,no,"CUNA Performance Resources, LLC"
310,cricket,gTLD,,,,,no,dot Cricket Limited
311,crown,gTLD,,,,,no,Crown Equipment Corporation
312,crs,gTLD,,,,,no,Federated Co-operatives Limited
313,cruise,gTLD,,,,,no,Viking River Cruises (Bermuda) Ltd.
314,cruises,gTLD,,,,,no,"Binky Moon, LLC"
315,csc,gTLD,,,,,no,"Alliance-One Services, Inc."
316,cu,ccTLD,,,,,no,CENIAInternet Industria y San Jose Capitolio Nacional
317,cuisinella,gTLD,,,,,no,SALM S.A.S.
318,cv,ccTLD,,,,,no,Agência Reguladora Multissectorial da Economia (ARME)
319,cw,ccTLD,,,,,no,University of Curacao
320,cx,ccTLD,,,,,no,Christmas Island Domain Administration Limited
321,cy,ccTLD,,,,,no,University of Cyprus
322,cymru,gTLD,,,,,no,Nominet UK
323,cyou,gTLD,,,,,no,Shortdot SA
324,cz,ccTLD,,,,,no,"CZ.NIC, z.s.p.o"
325,dabur,gTLD,,,,,no,Dabur India Limited
326,dad,gTLD,,,,,no,Charleston Road Registry Inc.
327,dance,gTLD,,,,,no,United TLD Holdco Ltd.
328,data,gTLD,,,,,no,Dish DBS Corporation
329,date,gTLD,,,,,no,dot Date Limited
330,dating,gTLD,,,,,no,"Binky Moon, LLC"
331,datsun,gTLD,,,,,no,"NISSAN MOTOR CO., LTD."
332,day,gTLD,,,,,no,Charleston Road Registry Inc.
333,dclk,gTLD,,,,,no,Charleston Road Registry Inc.
334,dds,gTLD,,,,,no,Minds + Machines Group Limited
335,de,ccTLD,,,,,no,DENIC eG
336,deal,gTLD,,,,,no,"Amazon Registry Services, Inc."
337,dealer,gTLD,,,,,no,Intercap Registry Inc.
338,deals,gTLD,,,,,no,"Binky Moon, LLC"
339,degree,gTLD,,,,,no,"United TLD Holdco, Ltd"
340,delivery,gTLD,,,,,no,"Binky Moon, LLC"
341,dell,gTLD,,,,,no,Dell Inc.
342,deloitte,gTLD,,,,,no,Deloitte Touche Tohmatsu
343,delta,gTLD,,,,,no,"Delta Air Lines, Inc."
344,democrat,gTLD,,,,,no,United TLD Holdco Ltd.
345,dental,gTLD,,,,,no,"Binky Moon, LLC"
346,dentist,gTLD,,,,,no,"United TLD Holdco, Ltd"
347,desi,gTLD,,,hindi for the peoples and cultures of south asia see also desi,,no,Desi Networks LLC
348,design,gTLD,,,,,no,"Top Level Design, LLC"
349,dev,gTLD,,,,,no,Charleston Road Registry Inc.
350,dhl,gTLD,,,,,no,Deutsche Post AG
351,diamonds,gTLD,,,,,no,"Binky Moon, LLC"
352,diet,gTLD,,,,,no,"Uniregistry, Corp."
353,digital,gTLD,,,,,no,"Binky Moon, LLC"
354,direct,gTLD,,,,,no,"Binky Moon, LLC"
355,directory,gTLD,,,,,no,"Binky Moon, LLC"
356,discount,gTLD,,,,,no,"Binky Moon, LLC"
357,discover,gTLD,,,,,no,Discover Financial Services
358,dish,gTLD,,,,,no,Dish DBS Corporation
359,diy,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
360,dj,ccTLD,,,,,no,Djibouti Telecom S.A
361,dk,ccTLD,,,,,no,Dansk Internet Forum
362,dm,ccTLD,,,,,no,DotDM Corporation
363,dnp,gTLD,,,,,no,"Dai Nippon Printing Co., Ltd."
364,do,ccTLD,,,,,no,Pontificia Universidad Catolica Madre y Maestra Recinto Santo Tomas de Aquino
365,docs,gTLD,,,,,no,Charleston Road Registry Inc.
366,doctor,gTLD,,,,,no,"Binky Moon, LLC"
367,dodge,gTLD,,,,,no,Not assigned
368,dog,gTLD,,,,,no,"Binky Moon, LLC"
369,doha,gTLD,,,,,no,Not assigned
370,domains,gTLD,,,,,no,"Binky Moon, LLC"
371,doosan,gTLD,,,,,no,Retired
372,dot,gTLD,,,,,no,Dish DBS Corporation
373,download,gTLD,,,,,no,dot Support Limited
374,drive,gTLD,,,,,no,Charleston Road Registry Inc.
375,dtv,gTLD,,,,,no,Dish DBS Corporation
376,dubai,gTLD,,,,,no,Dubai Smart Government Department
377,duck,gTLD,,,,,no,"Johnson Shareholdings, Inc."
378,dunlop,gTLD,,,,,no,The Goodyear Tire & Rubber Company
379,duns,gTLD,,,,,no,Not assigned
380,dupont,gTLD,,,,,no,E. I. du Pont de Nemours and Company
381,durban,gTLD,,,,,no,ZA Central Registry NPC trading as ZA Central Registry
382,dvag,gTLD,,,,,no,Deutsche Vermögensberatung Aktiengesellschaft DVAG
383,dvr,gTLD,,,,,no,Hughes Satellite Systems Corporation
384,dz,ccTLD,,,,,no,CERIST
385,earth,gTLD,,,,,no,"Interlink Co., Ltd."
386,eat,gTLD,,,,,no,Charleston Road Registry Inc.
387,ec,ccTLD,,,,,no,ECUADORDOMAIN S.A.
388,eco,gTLD,,,,,no,Big Room Inc.
389,edeka,gTLD,,,,,no,EDEKA Verband kaufmännischer Genossenschaften e.V.
390,edu,sTLD,,,,,no,EDUCAUSE
391,education,gTLD,,,,,no,"Binky Moon, LLC"
392,ee,ccTLD,,,,,no,Eesti Interneti Sihtasutus (EIS)
393,eg,ccTLD,,,,,no,Egyptian Universities Network (EUN) Supreme Council of Universities
394,eh,ccTLD,,,,,no,Not assigned
395,email,gTLD,,,,,no,"Binky Moon, LLC"
396,emerck,gTLD,,,,,no,Merck KGaA
397,energy,gTLD,,,,,no,"Binky Moon, LLC"
398,engineer,gTLD,,,,,no,United TLD Holdco Ltd.
399,engineering,gTLD,,,,,no,"Binky Moon, LLC"
400,enterprises,gTLD,,,,,no,"Binky Moon, LLC"
401,epost,gTLD,,,e-mail,,no,Not assigned
402,epson,gTLD,,,,,no,Seiko Epson Corporation
403,equipment,gTLD,,,,,no,"Binky Moon, LLC"
