,suffix,tld,punycode_tld,punycode_etld,from_psl,from_iana,type,type_tld,type_etld,manager_etld,manager_tld
73,journalist.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
74,leasing.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
75,logistics.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
76,magazine.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
77,maintenance.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
78,media.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
79,microlight.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
80,modelling.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
81,navigation.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
82,parachuting.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
83,paragliding.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
84,passenger-association.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
85,pilot.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
86,press.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
87,production.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
88,recreation.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
89,repbody.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
90,res.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
91,research.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
92,rotorcraft.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
93,safety.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
94,scientist.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
95,services.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
96,show.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
97,skydiving.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
98,software.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
99,student.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
100,trader.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
101,trading.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
102,trainer.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
103,union.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
104,workinggroup.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
105,works.aero,aero,,,True,True,sponsored,sponsored,icann,aero,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
106,af,af,,,True,True,country-code,country-code,icann,af,Ministry of Communications and IT
107,gov.af,af,,,True,True,country-code,country-code,icann,af,Ministry of Communications and IT
108,com.af,af,,,True,True,country-code,country-code,icann,af,Ministry of Communications and IT
109,org.af,af,,,True,True,country-code,country-code,icann,af,Ministry of Communications and IT
110,net.af,af,,,True,True,country-code,country-code,icann,af,Ministry of Communications and IT
111,edu.af,af,,,True,True,country-code,country-code,icann,af,Ministry of Communications and IT
112,ag,ag,,,True,True,country-code,country-code,icann,ag,UHSA School of Medicine
113,com.ag,ag,,,True,True,country-code,country-code,icann,ag,UHSA School of Medicine
114,org.ag,ag,,,True,True,country-code,country-code,icann,ag,UHSA School of Medicine
115,net.ag,ag,,,True,True,country-code,country-code,icann,ag,UHSA School of Medicine
116,co.ag,ag,,,True,True,country-code,country-code,icann,ag,UHSA School of Medicine
117,nom.ag,ag,,,True,True,country-code,country-code,icann,ag,UHSA School of Medicine
118,ai,ai,,,True,True,country-code,country-code,icann,ai,Government of Anguilla
119,off.ai,ai,,,True,True,country-code,country-code,icann,ai,Government of Anguilla
120,com.ai,ai,,,True,True,country-code,country-code,icann,ai,Government of Anguilla
121,net.ai,ai,,,True,True,country-code,country-code,icann,ai,Government of Anguilla
122,org.ai,ai,,,True,True,country-code,country-code,icann,ai,Government of Anguilla
123,uwu.ai,ai,,,True,True,private-domains,country-code,private-domains,Carrd,Government of Anguilla
124,al,al,,,True,True,country-code,country-code,icann,al,Electronic and Postal Communications Authority - AKEP
125,com.al,al,,,True,True,country-code,country-code,icann,al,Electronic and Postal Communications Authority - AKEP
126,edu.al,al,,,True,True,country-code,country-code,icann,al,Electronic and Postal Communications Authority - AKEP
127,gov.al,al,,,True,True,country-code,country-code,icann,al,Electronic and Postal Communications Authority - AKEP
128,mil.al,al,,,True,True,country-code,country-code,icann,al,Electronic and Postal Communications Authority - AKEP
129,net.al,al,,,True,True,country-code,country-code,icann,al,Electronic and Postal Communications Authority - AKEP
130,org.al,al,,,True,True,country-code,country-code,icann,al,Electronic and Postal Communications Authority - AKEP
131,blogspot.al,al,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,Electronic and Postal Communications Authority - AKEP
132,am,am,,,True,True,country-code,country-code,icann,am,"""Internet Society"" Non-governmental Organization"
133,co.am,am,,,True,True,country-code,country-code,icann,am,"""Internet Society"" Non-governmental Organization"
134,com.am,am,,,True,True,country-code,country-code,icann,am,"""Internet Society"" Non-governmental Organization"
135,commune.am,am,,,True,True,country-code,country-code,icann,am,"""Internet Society"" Non-governmental Organization"
136,net.am,am,,,True,True,country-code,country-code,icann,am,"""Internet Society"" Non-governmental Organization"
137,org.am,am,,,True,True,country-code,country-code,icann,am,"""Internet Society"" Non-governmental Organization"
138,radio.am,am,,,True,True,private-domains,country-code,private-domains,BRS Media,"""Internet Society"" Non-governmental Organization"
139,blogspot.am,am,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,"""Internet Society"" Non-governmental Organization"
140,neko.am,am,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,"""Internet Society"" Non-governmental Organization"
141,nyaa.am,am,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,"""Internet Society"" Non-governmental Organization"
142,ao,ao,,,True,True,country-code,country-code,icann,ao,Ministry of Telecommunications and Information Technologies (MTTI)
143,ed.ao,ao,,,True,True,country-code,country-code,icann,ao,Ministry of Telecommunications and Information Technologies (MTTI)
144,gv.ao,ao,,,True,True,country-code,country-code,icann,ao,Ministry of Telecommunications and Information Technologies (MTTI)
145,og.ao,ao,,,True,True,country-code,country-code,icann,ao,Ministry of Telecommunications and Information Technologies (MTTI)
146,co.ao,ao,,,True,True,country-code,country-code,icann,ao,Ministry of Telecommunications and Information Technologies (MTTI)
147,pb.ao,ao,,,True,True,country-code,country-code,icann,ao,Ministry of Telecommunications and Information Technologies (MTTI)
148,it.ao,ao,,,True,True,country-code,country-code,icann,ao,Ministry of Telecommunications and Information Technologies (MTTI)
149,aq,aq,,,True,True,country-code,country-code,icann,aq,Antarctica Network Information Centre Limited
150,ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
151,bet.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
152,com.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
153,coop.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
154,edu.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
155,gob.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
156,gov.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
157,int.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
158,mil.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
159,musica.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
160,mutual.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
161,net.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
162,org.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
163,senasa.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
164,tur.ar,ar,,,True,True,country-code,country-code,icann,ar,Presidencia de la Nación – Secretaría Legal y Técnica
165,blogspot.com.ar,ar,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,Presidencia de la Nación – Secretaría Legal y Técnica
166,arpa,arpa,,,True,True,infrastructure,infrastructure,icann,arpa,Internet Architecture Board (IAB)
167,e164.arpa,arpa,,,True,True,infrastructure,infrastructure,icann,arpa,Internet Architecture Board (IAB)
168,in-addr.arpa,arpa,,,True,True,infrastructure,infrastructure,icann,arpa,Internet Architecture Board (IAB)
169,ip6.arpa,arpa,,,True,True,infrastructure,infrastructure,icann,arpa,Internet Architecture Board (IAB)
170,iris.arpa,arpa,,,True,True,infrastructure,infrastructure,icann,arpa,Internet Architecture Board (IAB)
171,uri.arpa,arpa,,,True,True,infrastructure,infrastructure,icann,arpa,Internet Architecture Board (IAB)
172,urn.arpa,arpa,,,True,True,infrastructure,infrastructure,icann,arpa,Internet Architecture Board (IAB)
173,as,as,,,True,True,country-code,country-code,icann,as,AS Domain Registry
174,gov.as,as,,,True,True,country-code,country-code,icann,as,AS Domain Registry
175,asia,asia,,,True,True,sponsored,sponsored,icann,asia,DotAsia Organisation Ltd.
176,cloudns.asia,asia,,,True,True,private-domains,sponsored,private-domains,Cloud DNS Ltd,DotAsia Organisation Ltd.
177,at,at,,,True,True,country-code,country-code,icann,at,nic.at GmbH
178,ac.at,at,,,True,True,country-code,country-code,icann,at,nic.at GmbH
179,co.at,at,,,True,True,country-code,country-code,icann,at,nic.at GmbH
180,gv.at,at,,,True,True,country-code,country-code,icann,at,nic.at GmbH
181,or.at,at,,,True,True,country-code,country-code,icann,at,nic.at GmbH
182,sth.ac.at,at,,,True,True,country-code,country-code,icann,at,nic.at GmbH
183,wien.funkfeuer.at,at,,,True,True,private-domains,country-code,private-domains,FunkFeuer - Verein zur Förderung freier Netze,nic.at GmbH
184,*.futurecms.at,at,,,True,True,private-domains,country-code,private-domains,Futureweb OG,nic.at GmbH
185,*.ex.futurecms.at,at,,,True,True,private-domains,country-code,private-domains,Futureweb OG,nic.at GmbH
186,*.in.futurecms.at,at,,,True,True,private-domains,country-code,private-domains,Futureweb OG,nic.at GmbH
187,futurehosting.at,at,,,True,True,private-domains,country-code,private-domains,Futureweb OG,nic.at GmbH
188,futuremailing.at,at,,,True,True,private-domains,country-code,private-domains,Futureweb OG,nic.at GmbH
189,*.ex.ortsinfo.at,at,,,True,True,private-domains,country-code,private-domains,Futureweb OG,nic.at GmbH
190,*.kunden.ortsinfo.at,at,,,True,True,private-domains,country-code,private-domains,Futureweb OG,nic.at GmbH
191,blogspot.co.at,at,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,nic.at GmbH
192,biz.at,at,,,True,True,private-domains,country-code,private-domains,info.at,nic.at GmbH
193,info.at,at,,,True,True,private-domains,country-code,private-domains,info.at,nic.at GmbH
194,priv.at,at,,,True,True,private-domains,country-code,private-domains,priv.at,nic.at GmbH
195,myspreadshop.at,at,,,True,True,private-domains,country-code,private-domains,Spreadshop (sprd.net AG),nic.at GmbH
196,12hp.at,at,,,True,True,private-domains,country-code,private-domains,TrafficPlex GmbH,nic.at GmbH
197,2ix.at,at,,,True,True,private-domains,country-code,private-domains,TrafficPlex GmbH,nic.at GmbH
198,4lima.at,at,,,True,True,private-domains,country-code,private-domains,TrafficPlex GmbH,nic.at GmbH
199,lima-city.at,at,,,True,True,private-domains,country-code,private-domains,TrafficPlex GmbH,nic.at GmbH
200,au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
201,com.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
202,net.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
203,org.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
204,edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
205,gov.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
206,asn.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
207,id.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
208,info.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
209,conf.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
210,oz.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
211,act.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
212,nsw.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
213,nt.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
214,qld.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
215,sa.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
216,tas.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
217,vic.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
218,wa.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
219,act.edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
220,catholic.edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
221,nsw.edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
222,nt.edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
223,qld.edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
224,sa.edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
225,tas.edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
226,vic.edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
227,wa.edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
228,qld.gov.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
229,sa.gov.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
230,tas.gov.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
231,vic.gov.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
232,wa.gov.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
233,schools.nsw.edu.au,au,,,True,True,country-code,country-code,icann,au,.au Domain Administration (auDA)
234,blogspot.com.au,au,,,True,True,private-domains,country-code,private-domains,GoIP DNS Services,.au Domain Administration (auDA)
235,mel.cloudlets.com.au,au,,,True,True,private-domains,country-code,private-domains,"Jelastic, Inc.",.au Domain Administration (auDA)
236,myspreadshop.com.au,au,,,True,True,private-domains,country-code,private-domains,Spreadshop (sprd.net AG),.au Domain Administration (auDA)
237,aw,aw,,,True,True,country-code,country-code,icann,aw,SETAR
238,com.aw,aw,,,True,True,country-code,country-code,icann,aw,SETAR
239,ax,ax,,,True,True,country-code,country-code,icann,ax,Ålands landskapsregering
240,be.ax,ax,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Ålands landskapsregering
241,cat.ax,ax,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Ålands landskapsregering
242,es.ax,ax,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Ålands landskapsregering
243,eu.ax,ax,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Ålands landskapsregering
244,gg.ax,ax,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Ålands landskapsregering
245,mc.ax,ax,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Ålands landskapsregering
246,us.ax,ax,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Ålands landskapsregering
247,xy.ax,ax,,,True,True,private-domains,country-code,private-domains,Voxel.sh DNS,Ålands landskapsregering
248,az,az,,,True,True,country-code,country-code,icann,az,IntraNS
249,com.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
250,net.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
251,int.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
252,gov.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
253,org.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
254,edu.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
255,info.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
256,pp.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
257,mil.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
258,name.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
259,pro.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
260,biz.az,az,,,True,True,country-code,country-code,icann,az,IntraNS
261,ba,ba,,,True,True,country-code,country-code,icann,ba,Universtiy Telinformatic Centre (UTIC)
262,com.ba,ba,,,True,True,country-code,country-code,icann,ba,Universtiy Telinformatic Centre (UTIC)
