,suffix,tld,punycode_tld,punycode_etld,from_psl,from_iana,type,type_tld,type_etld,manager_etld,manager_tld
9298,测试,测试,xn--0zwm56d,,False,True,test,test,,,Internet Assigned Numbers Authority
9299,परीक्षा,परीक्षा,xn--11b5bs3a9aj6g,,False,True,test,test,,,Internet Assigned Numbers Authority
9300,大众汽车,大众汽车,xn--3oq18vl8pn36a,,False,True,generic,generic,,,Not assigned
9301,ישראל,ישראל,xn--4dbrk0ce,,False,True,country-code,country-code,,,The Israel Internet Association (RA)
9302,испытание,испытание,xn--80akhbyknj4f,,False,True,test,test,,,Internet Assigned Numbers Authority
9303,테스트,테스트,xn--9t4b11yi5a,,False,True,test,test,,,Internet Assigned Numbers Authority
9304,טעסט,טעסט,xn--deba0ad,,False,True,test,test,,,Internet Assigned Numbers Authority
9305,工行,工行,xn--estv75g,,False,True,generic,generic,,,Not assigned
9306,測試,測試,xn--g6w251d,,False,True,test,test,,,Internet Assigned Numbers Authority
9307,آزمایشی,آزمایشی,xn--hgbk6aj7f53bba,,False,True,test,test,,,Internet Assigned Numbers Authority
9308,பரிட்சை,பரிட்சை,xn--hlcj6aya9esc7a,,False,True,test,test,,,Internet Assigned Numbers Authority
9309,δοκιμή,δοκιμή,xn--jxalpdlp,,False,True,test,test,,,Internet Assigned Numbers Authority
9310,إختبار,إختبار,xn--kgbechtv,,False,True,test,test,,,Internet Assigned Numbers Authority
9311,手表,手表,xn--kpu716f,,False,True,generic,generic,,,Not assigned
9312,موبايلي,موبايلي,xn--mgbb9fbpob,,False,True,generic,generic,,,Not assigned
9313,珠宝,珠宝,xn--pbt977c,,False,True,generic,generic,,,Not assigned
9314,テスト,テスト,xn--zckzah,,False,True,test,test,,,Internet Assigned Numbers Authority
9315,xperia,xperia,,,False,True,generic,generic,,,Not assigned
9316,zippo,zippo,,,False,True,generic,generic,,,Not assigned
